data_id,Voltage (V),Current (A),Power (W),RPM,Lin Act Pos (Pitch),Wind Speed (m/s),Resistor (Ohm),Torque (uncertain) (oz-in),Torque (uncertain) (N-m),TSR,Wind Power (W),Cp,Calc Resistance
1,6.19,1.25,7.7375,943,1150,7,4.8,,0.078353818,3.103594342,31.39683319,0.246442052,4.952
2,6.8,1.12,7.616,1000,1150,7,5.83,,0.072727412,3.291192304,31.39683319,0.242572235,6.071428571
3,6.96,1.15,8.004,1015,1160,7,5.83,,0.075302992,3.340560188,31.39683319,0.254930169,6.052173913
4,7.02,1.15,8.073,1020,1170,7,5.83,,0.075579841,3.35701615,31.39683319,0.257127843,6.104347826
5,6.81,1.14,7.7634,1010,1180,7,5.83,,0.073400968,3.324104227,31.39683319,0.247266976,5.973684211
6,6.29,1.27,7.9883,958,1166,7,4.79,,0.079626945,3.152962227,31.39683319,0.254430119,4.952755906
7,6.49,1.25,8.1125,973,1166,7,5.03,,0.07961833,3.202330112,31.39683319,0.258385932,5.192
8,6.58,1.22,8.0276,988,1166,7,5.21,,0.077588968,3.251697996,31.39683319,0.255681837,5.393442623
9,7.07,1.17,8.2719,1020,1166,7,5.83,,0.077441954,3.35701615,31.39683319,0.263462877,6.042735043
10,7.31,1.14,8.3334,1045,1166,7,6.21,,0.076151267,3.439295957,31.39683319,0.265421673,6.412280702
11,6.28,1.26,7.9128,958,1168,7,4.79,,0.078874365,3.152962227,31.39683319,0.252025418,4.984126984
12,6.51,1.25,8.1375,988,1168,7,5.03,,0.078651182,3.251697996,31.39683319,0.259182191,5.208
13,6.63,1.23,8.1549,1000,1168,7,5.21,,0.077873525,3.291192304,31.39683319,0.259736387,5.390243902
14,7.04,1.16,8.1664,1025,1168,7,5.83,,0.076081309,3.373472111,31.39683319,0.260102665,6.068965517
15,7.24,1.13,8.1812,1047,1168,7,6.21,,0.074617643,3.445878342,31.39683319,0.260574051,6.407079646
